start,end,text,avg_logprob
312.81,318.35," actually saying is, what if the flux of heat going out or not going out?",-0.15
318.43,319.45," I mean, here is 0.",-0.15
319.65,324.93," So obviously, you're saying, OK, well, it's a very good house here that you have.",-0.15
324.93,332.05," But in any case, what we're doing here is basically talking about another type of",-0.15
332.05,332.09, boundary.,-0.15
332.25,332.97, Boundary conditions.,-0.22
333.19,335.61, So we have different types of boundary conditions.,-0.22
336.17,337.99, We can also mix the boundary conditions.,-0.22
338.57,342.49, And let me now tell you what is well-posedness.,-0.22
342.81,348.93," So if it's something that will be discussed in dimension one for ODEs, let me tell you",-0.22
348.93,350.71, what it is in the setting of PDEs.,-0.22
351.07,352.71, Then e and f are two spaces.,-0.22
353.37,356.39," f is, small f is in capital F.",-0.22
356.47,357.17, That will be the data.,-0.22
357.51,362.13, And a is your differential operator coming from e to f.,-0.22
362.25,370.61, And what we are doing is we are looking for solutions in e to the equation au equals,-0.23
370.61,372.25," f, which is the PDE.",-0.23
373.11,377.29, And you obviously have conditions as well.,-0.23
377.95,380.65," So boundary conditions, central condition, you name it.",-0.23
380.99,388.25," OK, so the PDE will be well-posed in the sense of Atomor if three things occur.",-0.23
388.61,390.29," Number one, the solution exists.",-0.23
390.77,391.89, Number two.,-0.23
392.25,393.49, The solution is unique.,-0.13
394.29,400.13," Number three, the solution u changes continuously with respect to f.",-0.13
400.25,407.35," If that is the case, then the PDE, with its conditions, will be called well-posed in the",-0.13
407.35,408.07, sense of Atomor.,-0.13
408.53,413.79, And you know already about well-posedness because we talked about it in dimension one,-0.13
413.79,414.95, where we have ODE.,-0.13
415.37,418.79, It's basically the same definition extended to PDEs.,-0.13
418.79,421.79, And whenever the PDE...,-0.13
422.25,426.77," is not well-posed, then it will be called ill-posed.",-0.24
