start,end,text,avg_logprob
249.15,251.05, as if you start with a room which is very hot.,-0.14
251.13,252.61, So it makes perfectly good sense.,-0.14
253.19,257.37, That will be a parabolic PDE with homogenous Dirichlet boundary condition and a given,-0.14
257.37,258.15, initial condition.,-0.14
258.87,261.19," Now, I can just rewrite this way.",-0.14
261.33,267.25, It's just easier by just writing Tx equals 0 and then actually writing the sets this way.,-0.14
268.15,268.47, All right.,-0.14
269.41,271.55, We can also have Newman boundary conditions.,-0.14
271.55,276.85," And that means that we have the normal derivative of u, which is equal to g on the boundary.",-0.16
277.51,283.01, And homogenous Newman boundary condition means that g is equal to 0.,-0.16
283.47,284.53, Here is an example.,-0.16
285.31,291.13," Minus Laplace u equals f, and du over dn equals 0.",-0.16
291.61,297.67," Well, say, for instance, that basically we're not at equilibrium in terms of heat.",-0.16
298.11,301.45," And then what you are looking at is, well, obviously,",-0.16
301.55,303.59, you still have a source in your room.,-0.11
304.07,312.01," But instead of prescribing a value of your temperature on the boundary,",-0.11
312.37,318.35," what you're actually saying is, what if the flux of heat going out or not going out?",-0.11
318.41,319.45," I mean, here is 0.",-0.11
319.63,324.93," So obviously, you're saying, OK, well, it's a very good house here that you have.",-0.11
324.93,331.53," But in any case, what we're doing here is basically talking about another type,",-0.11
331.55,332.97, another type of boundary condition.,-0.23
333.19,335.65, So we have different types of boundary conditions.,-0.23
336.17,338.01, We can also mix the boundary conditions.,-0.23
338.57,342.51, And let me now tell you what is well-posedness.,-0.23
342.81,347.41," So if it's something that will be discussed in dimension one for ODEs,",-0.23
347.67,350.71, let me tell you what it is in the setting of PDEs.,-0.23
350.97,352.71, Then e and f are two spaces.,-0.23
353.37,356.39," f is, small f is in capital F.",-0.23
356.47,357.17, That will be the data.,-0.23
357.51,361.53, And a is your differential operator coming from e.,-0.23
361.55,370.97," And what we are doing is we are looking for solutions in e to the equation au equals f,",-0.28
371.09,372.25, which is the PDE.,-0.28
373.01,377.31, And you obviously have conditions as well.,-0.28
377.93,380.63," So boundary conditions, central condition, you name it.",-0.28
380.99,388.25," OK, so the PDE will be well-posed in the sense of Atomor if three things occur.",-0.28
388.59,390.33," Number one, the solution exists.",-0.28
390.83,391.33, Number two.,-0.28
391.55,393.49," Number two, the solution is unique.",-0.13
394.29,400.13," Number three, the solution u changes continuously with respect to f.",-0.13
400.25,408.07," If that is the case, then the PDE with its conditions will be called well-posed in the sense of Atomor.",-0.13
408.51,414.93, And you know already about well-posedness because we talked about it in dimension one where we have ODE.,-0.13
415.37,418.79, It's basically the same definition extended to PDEs.,-0.13
418.79,420.79, And whenever the...,-0.13
421.55,426.67," If the PDE is not well-posed, then it will be called ill-posed.",-0.22
